,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
19-Jan,17.1,25.4,15.3,26.9,71.1,43.4,48.8,7.7,47.4,49.5,16.4,44.4,29.6,31.3,9.6,20.8,16.5,28.4,20,13.9,14.5,44.2,5.2,26.2,17.8,10.8,17.2,12.9,20.9,4.4,21.8,17.6,19.6,6.5,5.8,11.2,44.3,11,20,6.3,6.4,32.6,22.4,9.6,8.5,25.9,16.1,10.1,1.9,11.4,3.2,12.3
20-Jan,15.5,23.9,16.7,26.8,72.5,42.3,48.7,8.1,47.7,49.3,16.6,41.8,31.2,31.9,11.5,20,15.6,29.8,19.2,15.6,14.8,47.8,5.2,30.5,19.7,10.7,17,15.9,23.3,5,23.6,20.3,21.3,6.3,6.3,13.5,43.2,12.8,24.3,11.3,6.3,33.6,24.3,11.9,10.7,20.1,18.5,11.3,3.9,16.2,4.4,13.8
21-Jan,13.9,22.2,18.2,28.6,73.4,41.2,48.6,8.5,47.5,49,16.8,39.2,32.1,32.5,13.3,19.4,15.8,31,21,17,14.6,51.2,5.2,34.6,21.6,11.1,16.6,18.9,25.7,5.7,25.1,22.4,24.5,6.1,6.6,15.8,41.8,14,25.1,12.3,6.4,53.9,29.8,14.5,10.5,20,21.9,11.8,2.4,21.9,4.5,14.1
22-Jan,12.3,20.6,19.6,29.6,74.4,40.2,47.6,9,46.9,48.8,17,36.6,33.2,33,15.2,18.6,15.9,31.6,23.3,18.5,14.3,51.7,5.3,38.9,23.5,11.4,16.4,19.5,28,4.9,26.5,24.5,27.4,5.9,7,15.7,39.8,13.2,25.4,12.9,12.8,58.5,32,15.2,11.7,20.2,26.1,10.3,3,21.9,5.6,16
23-Jan,10.7,18.2,20.5,31,75.4,39.2,47,9.4,46,48.5,17.2,34,34.2,33.6,16.8,18,15.5,30.3,25.5,19.9,14.3,52.1,5.2,34.6,26.4,11.7,15.7,20.1,26.2,4.2,27.9,27.9,30.1,5.5,8,15.6,42.7,12.8,28.5,9.8,16,59.6,33.6,15.5,12.6,20.3,20.6,10.3,5.1,20.2,6.2,12.3
24-Jan,12.6,18.3,21,32.5,76.5,38.1,46,9.7,45.1,48.3,17.4,30.5,35.3,34.2,17.5,16.9,15.3,28.9,28.3,21.2,14.1,52.6,6.2,30.3,29.1,12,15,20.8,24.4,3.4,29.7,31.3,32.8,5.8,8.8,15.1,46.5,11.3,33.4,7.6,17.4,57.8,27.1,15,13,24.2,18.4,7.8,9.1,21.8,4.5,12
25-Jan,14.4,17.9,21.2,34,77.4,36.5,45,14.1,44.2,47.6,17.1,33.2,36.3,34.5,19,17.6,14.9,27,31,22.4,14.3,55.8,6.9,28,32,12.4,14.2,21.4,22.5,3.6,31.7,34.5,33.3,5.9,9.6,16,49,10.5,33.1,7.8,18.9,42.4,22.3,14.6,11.8,27.5,24.4,6.6,7.7,23.5,4.6,10.5
26-Jan,16.3,17.5,21.5,35,78.2,37.7,44.2,17.1,43.4,48.9,18.1,35,37.1,37.3,19.6,17.6,15.6,25.1,33.8,23.5,14.4,58.2,7.6,25.9,34.7,12.7,13.3,25,23.6,3.7,33.3,37.6,33.5,6.1,11,17.9,52.2,12.1,27,9.2,18.5,50.6,26.4,11.1,9.2,26.6,30.9,6.3,6.6,30.3,4.7,9.6
27-Jan,18.1,17.2,21.8,33.9,78.4,38.4,43.3,20.3,42.5,49.7,18.5,36.7,39,39.2,20.5,17.8,16.4,24,36.7,23.8,14.6,59.2,8.1,25.3,31.4,12.9,13.9,28.5,24.8,3.9,35.2,39.4,33.6,6,12.2,18.4,54.8,13.7,28.9,6.2,21.7,52.5,33.4,9.7,9.4,19.5,28.9,6.2,7.2,23.6,6.7,10.2
28-Jan,20,16.7,22.2,35.2,78.5,39.2,42.3,23.2,40.9,50.5,18.9,38.5,40.2,41.2,21.5,18,14.4,22.5,38.5,26,14.2,59.9,8.8,24.7,28.1,12.4,14.4,32.1,25.8,4,35.7,40.7,34.2,5.9,13.3,19.2,57.2,14.9,26.7,5.3,17.5,63.7,37.5,9.4,9.6,14.7,40.6,5.6,10.2,27.4,6.1,9.6
29-Jan,21.8,16.2,22.3,36,78.4,40,40.7,26.3,46.4,51.4,19.3,40.2,41.3,43.2,21.9,18.2,12.1,22.8,36.9,28,13.9,64.8,9.4,24.2,24.9,11.8,14.8,30.8,26.9,4.5,36.3,42,34.6,5.8,14.4,18.9,58.9,16.5,28.3,4.7,12.5,63.8,41.2,8,13.2,19.3,41.7,6.6,11.2,35,7.3,8
30-Jan,23.1,15.9,21.6,36.8,78.5,40.8,45.4,29.3,50.4,52.2,19.7,42,42.4,45.2,22.9,18.2,11.6,24.7,34.9,28,13.6,69.5,10,30.7,29.1,11.3,14.9,29.5,25.9,5,36.8,43.4,34.8,5.6,16.1,18.5,55.8,18.3,31.1,7,10.5,65.7,37.5,11.2,12,23.1,39.1,6.7,15.6,39,8.8,6.9
31-Jan,21.7,15.2,22.4,37.7,78.6,41.5,48.7,34.2,54.4,53.1,20.1,43.7,43.6,47.1,23.4,18,12.6,26.6,39.7,28.1,13.3,74.4,10.3,37.2,33.5,11.1,15,28.1,24.9,5.4,36.7,44.8,34.9,5.9,17.4,18,53.6,19.6,34.4,8.5,9.2,59.2,34.7,9.8,10.9,26,48,10.7,13.4,40,11.6,6.6
1-Feb,20.3,18.3,22.6,38.5,78.7,42.1,52,37.6,58.3,53.9,20.3,45.4,44.8,48.9,22.2,22.8,13.4,26.8,43.8,30.4,13.6,76.6,10.6,45.3,37.8,10.9,15,26.6,23.9,5.7,36.7,46,34.8,6.1,18.6,19.1,49.1,21.1,37.4,6.4,12.4,61.7,36.4,7.8,8.3,22.3,56,9.6,10.7,32.6,12,6.4
2-Feb,19,20.5,22.9,39.3,78.4,44.3,55.4,40.9,62.4,54.4,20.7,49.3,45.7,49.4,20.7,26.4,15.1,27,44,32.4,14.1,78.7,10.8,53.3,41.9,10.6,15,25.7,24.5,6,36.4,47,34.5,6.2,20.4,20.3,46.2,23.5,37.5,6.1,15.5,64.6,37.7,5,6.8,28.8,45.1,6.8,11.8,22.9,11.6,6.1
3-Feb,17.7,22.8,23.2,39.9,80.4,45.8,58.7,44.3,66.4,57.7,20.9,51.9,49.4,49.2,19.1,30,16.6,29,43.9,35.3,14.7,77.3,10.9,62.8,44.6,10.5,13.9,24.8,25.2,6.3,36.2,46.8,33.9,5.9,22,21,52.8,25.8,34.6,6.1,17.2,71.4,49.3,5.7,6.8,35.4,40.9,5.3,11.5,25.8,14.7,7.3
4-Feb,16.4,25,23.5,39.5,81.9,47.2,62,47.7,70.3,59.9,21.1,54.6,52,49,17.6,33.5,18.9,30.8,41.5,33,15,75.8,11.4,72,47.2,11.7,12.8,23.9,25.8,6.5,36.6,46.2,31.8,5.6,23.5,22,59,27.8,31.5,6.1,18.1,77.5,49.9,5.6,6.3,43,40.4,5.5,12.3,34.5,21.6,7.9
5-Feb,14.9,27.3,23.7,38.9,83.5,48.6,65.3,51.1,70.6,62.1,21.4,57.2,54.6,48.8,15.9,37,21,31.8,33.8,30.6,15.3,77.9,12,81.5,49.9,12.8,11.6,24.9,26.4,6.6,37,45.6,29.6,5.2,24.7,21.8,65.2,28.3,27.8,6.5,30.3,77,48.8,7.2,5.8,50.1,36.9,6.5,8.4,44.4,19.3,6.6
6-Feb,13,29.5,23.9,38.3,85.2,50.2,68.4,54.4,70.7,64.2,21.6,59.9,57.1,48.6,14.3,40.6,22.8,30.8,25.9,30.6,16.5,79.9,12.4,78.8,47.6,14,11.4,25.8,25.8,6.6,37.4,45.3,27.3,4.7,26.4,21.3,61.2,29.1,26.3,5.5,25,79.5,56.9,7.7,5.9,50.4,39.9,6.3,12.6,41.4,17.4,6.7
7-Feb,17.1,31.5,28.6,37.7,86.9,51.6,70.7,54.6,70.9,66.5,21.8,62.6,59.7,48.5,12,44.1,24.6,29.6,22.5,30.6,17.5,81.9,17.7,76.1,45.8,13.5,11.2,26.6,25.2,6.6,37.4,45.1,25.3,7.1,27.7,20.8,58.6,29.2,28.7,5.2,27.5,78.8,47.2,7.7,6.1,55.3,42,10.2,18,28.9,13.5,5.9
8-Feb,19.9,35.8,32.2,37.1,88.4,52.9,73.1,54.5,71,68.8,21.9,65.2,62.3,47.9,14.9,46,26.5,29.3,19,31.9,19,82.6,22.4,69.3,43.6,13.1,11,27.5,24.5,7.3,37.5,44.5,24.4,9.1,29,23.2,54,29.6,30.3,5.5,22.4,77.8,47.9,6,6.1,54.2,51.3,12.8,18.7,32.7,10.5,5
9-Feb,23.2,38.9,36,36.6,89.9,54.3,75.6,54.4,71.1,70.7,22.1,61.4,64.9,51.2,16.9,47.1,26.8,29,16.1,33,20.9,82.8,24.3,61.8,41.4,12.6,10.8,26.2,27.1,8,37.4,43.9,23.6,11.1,30.7,25.9,49.8,29.5,31.2,5.1,29.3,78,46.3,4.7,5.2,62.4,50.2,11.4,24.8,29.8,10.4,4.3
10-Feb,26.5,41.9,39.8,35.5,89,54.9,78.2,54.2,71.3,70.8,22,57.5,64.8,53.6,18.9,48.2,27,27,12.3,34.1,22.8,84.9,26,59.1,39.7,12.1,10.6,24.9,29.5,8.7,37.4,45.1,23.2,11.3,32.4,27.5,48.7,29.4,32.2,4.9,31.6,80.2,53.7,5.9,4.8,64.2,55.8,13.6,24.4,24.7,9.9,3
11-Feb,29.8,45,43.7,35.9,88.5,55.7,80.5,54.1,71.1,70.3,22,53.7,64.4,56,20.7,49.2,27.5,24.5,13.3,34,23.9,87.2,27.7,56.2,37.8,12.3,10.4,23.5,31.9,9.4,40.5,45.7,22.6,11.4,33.9,29.7,47.2,29.4,37.9,5.7,19.8,87,57.6,7.8,6.5,69,56.6,12.1,27,23.3,9.7,2.7
12-Feb,32.6,48.1,47.3,35.9,87.9,56.4,82.7,54,70.3,69.7,21.9,49.8,64,58.3,22.7,50.3,27.8,24.1,14.2,33.7,24.8,87.8,29.5,52.8,36,12.6,10.1,25.2,34.4,8.9,43.4,46.4,22.4,11.5,35.2,31.2,45,29.1,40.1,7.7,15.8,88.3,63.2,12.2,9.4,63.1,54.6,9.8,31.9,23.8,6.9,2.9
13-Feb,33.1,51.1,50.2,35.7,87.3,57.1,85,53.3,69.4,69.4,21.9,46,63.7,60.8,24.7,51.4,30.2,24.5,15,33.9,24.8,88.4,31.2,54.4,39,12.8,10.5,26.8,33.3,8.4,46.2,44.8,22,11.5,39.9,33,48.2,29,35.6,9.2,15.6,84.5,60.4,17.4,9.6,61.6,52.1,10.9,34,41.8,7.3,2.9
14-Feb,35.9,53.6,47.8,35.6,86.7,57.8,86.5,53.3,68.4,68.8,21.3,42.1,63.3,63.2,26.6,52.2,30.8,24.5,18.6,34.1,24.8,89,30.5,55.3,41.9,11.9,10.8,28.4,32.2,7.9,53.7,43.4,21.5,11.6,43.8,34.3,51.4,29,24.9,8.2,16.2,80,68.2,23.9,8.4,57.7,53.1,17.3,37,49.3,6.6,4
15-Feb,37.8,54.9,45.2,35.5,86.1,58,88.2,52.9,67.5,68.4,21.2,36.9,63,65.3,27.3,52.8,31.2,26,22.3,34.3,27.1,85.6,29.9,64.3,44.8,11.1,11.2,30,31,8.4,61.3,41.4,20.8,11.6,47.5,32,53.8,28.8,22.4,7.8,15.2,80.7,64.8,33.8,8.2,55.3,49.3,18.2,37.7,49.9,6,3.3
16-Feb,39.8,55.5,42.7,35.4,85.5,62.4,89.8,52.6,66.5,67.8,20.8,35.2,62.3,67.5,27.3,52.9,34.3,27.4,24.3,34.2,29.3,82,29.3,72.7,47.6,10.2,11.5,31.7,31.3,8.8,68.5,39.4,20.2,11.4,47.4,30,56.8,27.7,27.5,7.1,16.1,81.2,69.7,27.2,10.7,54.1,51.6,14.2,42.2,39.8,5.8,3.5
17-Feb,41.7,56.2,40.2,34.9,85.6,65.5,91.6,52.3,65.6,66.7,20.5,33.4,63.8,69.1,27.1,53.1,37.4,29.6,26.1,34,31.4,79.3,28.9,74.3,49.7,9.3,11.9,33.2,31.5,9.2,75.8,44.1,19.4,12.3,47.1,27.7,55.8,26.3,25.6,6.6,31.3,81.3,76.6,23.3,11.3,47.4,58.1,18,40.1,33.5,8.3,4.5
18-Feb,43.7,57,37.7,33.8,85.6,68.7,93.2,51.9,64,65.4,20.1,31.5,64.8,70.5,27,53.3,38.7,31.6,27.5,32.5,35.8,76.8,27.6,75.8,51.6,8.4,12.2,34.8,31.6,9.6,70.7,48,22.5,13.1,46.5,24.8,54.1,25,22.4,5.7,38.4,85.1,82.2,19.9,8.2,43,62.2,16.4,44,42.1,9.2,5.3
19-Feb,45.7,57.7,35.2,32,85.8,72,94.7,51.5,60.6,64.1,19.8,29.8,65.8,72,26.8,53.4,39.8,33.5,27.5,31.1,40.3,74.1,26.3,77.5,53.6,7.6,12.5,32.8,31.7,8.6,65.6,51.9,25.2,13.8,45.7,30,52.1,25.2,16,5.4,27,80,85.4,25.8,12.8,42,66.1,15.5,45.8,38,9.5,12.2
20-Feb,47.6,58.4,31.4,30.2,85.9,75.2,93.6,50.6,57.2,62.8,19.5,28,66.9,73.5,26.8,53.6,40.2,32.8,27.5,28.6,44.8,71.4,24.7,71.1,54.8,6.6,15.4,30.8,32.3,7.6,60.5,47.1,27.7,14.3,42.8,35.1,53.7,26,18,6.8,20.1,79.1,80.8,23,13.7,45.9,66.9,17.6,44.7,39.2,6.4,8.5
21-Feb,50.3,58.7,30.6,28.4,86,78.4,92.6,50.7,53.8,61.3,19.1,26.2,67.9,75,26.5,53.4,40.9,32,27,25.8,49.2,68.1,24.1,64.7,56.1,6.5,18.3,28.7,32.8,6.6,61.9,42.3,30.2,14.4,39.7,39.7,56.1,26.1,24.1,7,22.6,69,84,17.9,14.9,45.1,63.1,19.5,42.9,33.1,6.7,6
22-Feb,52,58.3,29.6,26.5,86.1,81.5,91.6,50.7,50.4,60.1,18.8,23.1,68.9,76.4,25.7,52.2,41.6,30.8,26.3,26.5,53,69.8,23,62.4,57.3,6.5,21.1,26.6,33.3,6.5,63.4,37,32.5,14.2,36.3,39.2,57.2,26.4,27.5,5.5,30.5,66.7,82.8,12.4,12.1,49.9,59.9,11.3,34,37.6,8.4,6.1
23-Feb,53.7,57.8,28.6,24.8,85.9,82,90.7,50.6,47,58.1,18.1,25.1,69.8,76.4,24.8,50.7,43.5,29.5,29.4,26.8,53.4,71,23.1,59.6,58.4,6.3,23.9,25.7,31.2,6.4,64.4,31.7,34.2,13.9,35.1,39.3,59.2,24.5,35.3,4.6,28.7,61.6,84.4,12.3,13,50.4,57.2,9,30.2,40.8,11.3,5.2
24-Feb,55.5,57.2,27.7,22.2,85.6,82.2,89.7,50.5,43.6,60.3,17,25.9,68.1,76,24,49.2,45.3,32.2,32.1,28.1,53.9,72.1,23.1,57.4,52.8,6.2,22.7,24.8,29.3,6.4,65.8,34,35.8,14.3,34.2,38.3,59.5,22.2,37,4.6,27.4,70,85.2,12.3,12.3,48.7,56,9,27.2,49,19.6,7.4
25-Feb,57.2,56.6,26.8,23.3,85.1,82.4,88.8,50.4,38.7,61.6,15.7,26.8,66.2,75.6,23.2,47.7,46.5,34.7,36.2,27.5,57.1,73,23.8,55.1,47.2,6.1,21.5,24,27.2,6.3,70.4,36,35.7,14.6,32.6,37.6,59.6,19.9,31.4,4.5,23,77.1,84.5,12.7,13.1,44.2,56.4,9,25.1,54.2,19.4,4.9
26-Feb,59,56,25.8,23.8,84.6,82.5,87.3,50.3,39.9,62.9,14.5,27.7,64.3,75.2,22.4,46.2,47.6,40,39,26.8,60.2,75.9,24.3,52.4,41.2,5.9,20.2,21.8,25,6.5,74.8,37.9,35.3,14.5,31,38.4,62,19,28.8,4.5,24.1,79.6,85.5,11.5,10,37.6,61.8,9.6,22.8,56.1,11,4.3
27-Feb,60.6,55.4,23.5,24.2,84.1,82.8,85.7,50,40.5,64.4,13.2,28.6,62.3,74.8,21.4,44.7,48.6,43,41.8,26.1,62.3,78.8,24.6,57.8,44,5.8,18.8,19.7,27.7,6.8,79.4,36.6,34.8,14.6,32.3,39,63.2,18.5,32.6,6.2,20.1,82.7,84.1,9,9.5,33.2,69.4,9.9,17.6,38.4,12.7,3.8
28-Feb,58.2,54.2,24.6,24.6,83.8,83,84.1,52.7,41.1,65.5,12,29.4,60.4,74.4,19.4,42.1,47.6,45.8,42.5,25.3,64.4,81.6,26.8,62.7,46.4,5.5,17.3,17.6,30.4,7.1,79.6,35.3,34,17,33,39.5,67.5,17.4,34.6,6.1,18.3,85.2,86.8,7.9,8.7,32.5,71.3,14.1,16.2,40.9,13.2,3.3
29-Feb,NA,NA,NA,25,NA,NA,NA,54.4,NA,NA,NA,30.2,NA,NA,NA,42.7,NA,NA,NA,26.8,NA,NA,NA,62.8,NA,NA,NA,15.2,NA,NA,NA,33.6,NA,NA,NA,39.6,NA,NA,NA,5.9,NA,NA,NA,6.8,NA,NA,NA,17.8,NA,NA,NA,6
1-Mar,55.7,51.9,25.1,25.5,83.2,82.9,82.4,56.2,41.6,67.1,10.2,36.1,58.4,73.5,18,42.5,46.7,47.4,43.2,28,63.9,83.6,28.5,62.2,48.7,5.3,15.7,13,32.9,8.3,79.8,31.8,35.4,18.7,33.6,39.8,70.7,16.3,35.9,5.1,16.2,85.5,88.8,10.4,13,34.1,74.2,16.9,12.8,48,12.8,6.3
2-Mar,53.3,48.5,25.7,25.6,82.5,82.1,80.7,58,42.3,68.3,10,40.6,55.8,73.1,16.4,42.4,47.8,48.9,43.8,28.1,55.7,85.4,30.3,66.8,50.7,5,14.2,10.9,32.8,9.5,80,30.4,36.5,20.4,32.6,39.2,74.6,17.1,28.5,6.2,16.4,90.1,88.3,10.6,14.2,35,71.4,12.3,16.1,46.6,11.6,4.2
3-Mar,50.8,44.9,26.2,26.8,79.9,81.4,79.2,59.7,42.8,69.4,9.7,45.2,56.3,72.5,14.9,42.3,48.8,53,44.3,27,47.1,85.3,32,70.7,50.7,4.7,13.4,8.5,32.6,10.6,80.2,28.6,37.2,19.9,31.5,38.9,72.9,17.9,31,5.2,30.9,86,78.6,16.2,11.5,40,74.2,11.2,15.1,51.3,15.2,3.5
4-Mar,48.4,41.4,26.7,27.4,77.7,80.5,77.5,61.5,43,70.4,9.4,49.7,56.4,71.8,13.4,42.1,49.6,56.8,44.2,25.8,46.2,85.1,31.6,74.8,50.4,4.6,12.7,8.2,32.3,11.8,80.1,26.7,36.5,19.4,29.8,39.5,70.8,18.4,32.7,6.2,24.1,90.9,77.7,19.4,7.8,37.8,73.8,10.6,14.8,49.2,13.4,3.7
5-Mar,45.9,37.8,27.3,27.9,75.2,79.6,75.3,62.8,41.4,71.4,9.1,54.2,56.4,71.2,11.9,42,50.1,58.4,43.3,21.8,45.2,84.7,31.3,74.1,50.1,4.4,11.9,8,31.8,11.8,80,25.2,35.6,18.6,28.1,40,68.5,18,32.7,10.6,25,91.7,80.4,19.4,8,35.6,74.8,8.7,15.1,49.1,13,2.7
6-Mar,42.2,34.5,27.5,28.4,72.9,78.8,76.2,59.5,39.6,72.3,8.8,58.7,56.4,70.5,10.3,41.4,52.2,59.2,42.3,17.5,42.1,84.3,30.9,73.2,47.5,4.2,15,7.7,32.3,11.8,79.9,23.9,34.7,17.5,37.9,40,66.5,17.6,30.3,8.3,23.1,92.3,83.1,18.5,8.6,28.4,75.1,11.8,12.1,42,9.2,2.4
7-Mar,40.1,30,26.8,28.9,70.5,78,76.7,56.1,37.7,73.1,8.5,63.1,56.5,69.9,8.1,41.7,55.1,59.7,40.3,15.8,38.5,83.8,29.7,77.6,45,3.9,18.1,7.4,32.7,11.8,79.8,22.2,33.3,17.5,46.6,43.7,64.4,16.9,34.4,5,24.8,90.2,83.6,16.1,8.2,27.8,74.6,12.1,16.1,36.1,8.9,2.2
8-Mar,36.9,31.8,25.9,29.5,68.2,76.6,77.3,52.8,35.9,74.1,7.9,63.6,56.5,68.9,8.6,41.6,57.9,58.2,38.3,13.7,37.5,78.4,28.5,81.7,42.2,3.7,21,6.7,32.9,11,79.7,20.2,35.7,17.2,55.2,47.9,61.5,16.2,34.6,4.4,19.1,90.6,82.1,9.5,7.2,28.8,80,10.1,18.5,36.2,8.2,1.6
9-Mar,33.4,32.9,25,29.6,64.6,76.6,77.8,49.4,34.1,74.8,7.6,63.7,56.1,68,8.9,41.3,58,56.6,38.5,16.5,37.7,72.6,27.7,77.1,38.9,3.5,23.9,6,32.6,10.1,79.7,20.4,37.9,16.7,48.9,51.3,58.9,15.8,33.7,3.8,17,90.8,78.5,8.4,6.1,27.5,80.9,9.3,14.9,30,7.8,1.5
10-Mar,30,34.2,24.1,30.5,64.1,76.4,78.3,46.1,32.3,70.9,7.2,63.7,52,66.7,9.1,41.2,57.8,54.8,38.7,18.7,37.9,69.5,26.9,72.5,39.4,3.2,21.4,5.2,32.2,9.3,79.6,20.4,39.7,15.3,42.6,55,56.9,15.5,27.5,3.9,16.4,83.7,72.5,7.7,5.4,26.5,71,7.9,12.4,33,8.8,1.3
11-Mar,26.5,35.5,23.1,30.9,63.5,76.1,78.9,42.7,29.4,67,6.8,63.9,47.8,65.4,9.4,40.9,57.8,52.8,37.8,20.9,35.8,66.3,26.1,68.3,39.2,3.8,18.8,5.1,31.7,8.4,77.4,20.1,40.4,13.9,36,52.3,55.8,15.3,25.3,4.4,13.8,83,68.5,7.1,6.4,27.3,65.1,7.9,9.9,39,6,1.2
12-Mar,23.4,36.8,22.2,31.2,62.8,76,79,38.1,28.9,62.7,6.5,63.8,43.5,64,9.6,40.8,57.8,49.6,35.3,25.8,33.5,65.3,25.3,67,38.9,4.5,16.1,5,31,8.8,75.3,18.8,41,12.1,28.5,49.2,52.9,17.2,24.6,3.6,13.2,83.9,64.1,7.1,4.5,32.5,54.1,7.6,7.1,35.4,6.1,1.2
13-Mar,19.1,37.9,20.6,31.5,62.1,75.8,76.2,36.6,28.1,58.7,6.1,64,39.3,62.8,9.9,39.9,57.2,46.6,32.6,30.8,35.5,64.1,24.3,65.1,38.9,5.1,15,4.8,28.1,9.2,73.1,17.8,41.3,10.5,26.6,45.6,51,16.1,24.6,3.3,11.1,85.4,65.4,5.9,4.5,27.8,54.8,6.3,7.3,36.5,6.9,1.2
14-Mar,19.4,37.2,19.8,31.8,61.5,75.6,73.4,35,27.3,54.7,5.8,64,35,61.5,10,40.1,57.8,43.4,29.8,34.8,36.9,62.3,23.4,64.7,38.7,5.5,14,4.7,25.2,9.6,72.2,16.4,41.3,9.2,24.5,45.4,49.4,16.2,20.5,2.9,9.8,78.6,66.4,5.8,5.2,25.4,54.8,4.8,7.5,43,9.4,1.1
15-Mar,18.3,38.9,18.2,32.1,60.9,75.1,70.7,33.4,26.4,50.8,5.2,63.8,30.8,59.4,11,39.6,58.3,37.5,26.6,38.8,39.5,60.2,22.3,64.2,38.4,6,13,4.5,22.2,9.8,71.4,14.7,42.6,8,21.9,45.4,47.7,13.7,26.6,2.9,11.3,74.5,63,5.2,9.5,24.5,47.2,6,7.8,48.6,8.8,1
16-Mar,16.7,38.6,16.4,32,59.9,69.9,67.8,31.7,25.6,46.5,5.6,60.8,24.7,58.3,10.4,39.1,58.9,31.3,24.5,40.4,38.6,57.9,21.2,63.7,37.5,6.4,12,4.4,24.1,10.1,70.2,16.7,43.4,6.7,21.5,44.9,44.8,9.2,20.6,3.1,10.7,75.1,60.3,5.3,10.8,23.5,41,6.8,7.8,43.1,6.7,1
17-Mar,15.6,38,14.6,30.6,60,64.8,65,30,24.8,40.9,5.7,57.7,25.4,56.9,9.4,38.6,59.2,28.9,22.2,41.9,37.5,57.5,20,63.2,38.9,6.8,10.9,4.2,25.7,10.4,69.3,18.2,44.2,6.7,21,44.4,43.3,9,21.2,3.4,12,82.7,58.9,3.9,15.8,24.8,37.6,4.9,7.3,37.5,6.1,0.6
18-Mar,14,37.4,12.8,28.8,59.6,59.7,62.3,28.4,23.4,41.4,5.9,54.5,25.8,55.4,8.3,38.2,58.6,25.6,20.9,41.6,38.6,56.7,18.8,62.3,39.8,6.5,9.8,3.8,27.2,10.6,67.6,19.6,40.1,6.7,19.9,42,39.7,9.2,22.3,3,15.5,81.9,54.9,2.6,11.8,26.3,38.4,4.9,6.8,32.3,6.6,0.6
19-Mar,12.5,36.7,11.2,26.9,59.4,54.6,58.5,25.7,23.2,41.2,6,51.5,26.1,53.8,7.3,37.7,57.8,24.6,20,40.3,39.4,57.4,17.5,65.3,40.7,6.2,8.7,3.5,28.9,9.6,65.8,18,36,6.4,19.3,37.9,35,8.5,22.5,2.2,12.1,80.6,52,2.5,10.9,28.5,42.5,5.2,7.9,30.6,7.6,0.6
20-Mar,11.3,36.4,8.7,25,59.2,49.5,58.4,25.3,22.9,41.1,6.1,48.3,26.5,52.4,6.6,36.5,55.6,21.3,19.1,38.8,41.7,57.9,16,67.8,42.2,5.9,7.9,3,26,8.6,63.7,16.5,31.8,6.5,20,32,34.5,7.7,16.5,2,10.1,76.8,52.3,4.2,9.7,30.2,38.2,5.3,6.2,28.1,5.8,0.6
21-Mar,9.6,35.7,9.8,23.1,58.9,44.4,57.8,24.4,22.6,40.7,6.2,45.2,26.9,50.9,5.3,34.3,54.5,17.5,18.7,41.8,43.6,58.3,13.3,56.9,43.6,5.5,7,2.7,23.1,7.6,62.8,14.9,26.7,6.2,20.3,36.2,34.4,6.8,18.8,1.8,11,74,52.9,3.3,6.2,31.6,35.2,5.2,5.6,27.2,5.7,0.8
22-Mar,8.8,36.3,9.9,21.3,58.5,38.1,57.2,23.5,22.3,40.6,6.4,40.7,27.3,48.7,5.8,31.8,53.4,16.4,18,44.3,44.4,55.5,10.9,44.9,44.8,5.2,6,2.6,20.1,8.6,61.8,12.9,26.5,6.1,20.5,34.2,33.8,6,15.7,1.6,13,72.7,51.5,1.7,4.9,29.2,29.8,8.8,4,25.1,4.9,1.2
23-Mar,7.7,36.4,9.9,18.4,57.8,37.8,56.8,22.7,22,39.5,6.4,42.2,27.1,45,5.6,29.4,52.2,15.1,16.2,45.5,42.4,52.4,9.9,41,45.9,4.7,5.2,2.6,19.4,9.6,60.4,12.9,26.2,5.9,19,31.7,32.8,5.3,12.8,1.6,12.8,70.9,49.5,1.5,6.4,32.2,27.6,7.2,3.7,21.6,5.1,0.8
24-Mar,6.8,36.6,9.9,18.9,56.3,37.5,56.2,21.8,21.6,38.1,6.2,42.3,26,41.4,5.3,27,51.1,14.9,14,40.9,40.3,50.7,9,36.9,46.5,4.4,5.2,2.5,18.5,10.5,59.1,12.9,25.9,5.7,17.5,29.4,32.7,4.9,11.3,1,10.9,77.2,53.5,1.5,8.1,29.4,24.6,5.9,3.7,19.6,6.4,1.1
25-Mar,5.8,36.8,9.9,17.8,54.6,37,55.7,20.9,20.9,36.4,6,40,24.8,37.7,5,24.6,49,14.5,12.2,35.9,39.3,48.5,8.1,32.5,47,4.1,5.1,2.2,17.8,11.4,58.9,12.8,24.4,5.5,15.2,27.6,29.2,4.5,17.3,0.9,8.5,73.3,61,1.4,13.7,27.3,25.8,5.8,3.2,21,5.2,0.7
26-Mar,4.8,37,10.1,16.3,52.8,36.6,54.5,19.4,20.1,34.8,5.7,37.6,23.5,34.2,4.7,22.2,46.2,14.4,11.1,33.8,38.3,45.9,7.3,41.4,47.3,3.8,5.1,1.9,16.9,10.5,58.3,12.3,23.2,5.1,13.7,21.7,24.3,5,18.8,0.4,7.2,74.1,57.5,1.5,18.4,21.8,23.7,5.7,3.1,14.3,4.4,0.5
